@W: CG104 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/macros/ACX_DEVICE_MANAGER.svp":20403:29:20403:29|Unsized number in concatenation is 32 bits
@W: CG104 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/macros/ACX_DEVICE_MANAGER.svp":20406:33:20406:33|Unsized number in concatenation is 32 bits
@W: CG921 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":829:11:829:11|i is already declared in this scope.
@W: CG1283 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1056:6:1056:15|Ignoring localparam max_dut_name_chars on the instance and using locally defined value
@W: CG1283 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/common/speedster7t_snapshot_v3.sv":2183:4:2183:14|Ignoring localparam data_width on the instance and using locally defined value
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/reg_control_block.sv":139:28:139:56|Object dma_accel_read_zero_threshold is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/reg_control_block.sv":363:8:363:13|Pruning unused register gb_decode.jj[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/reg_control_block.sv":169:4:169:9|Pruning unused register new_read. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/reg_control_block.sv":169:4:169:9|Pruning unused register pcie_dbi_w_access. Make sure that there are no unused intermediate registers.
@W: CS263 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/syn/speedster7t_user_macros_core.sv":2986:15:2986:17|Port-width mismatch for port din. The port definition is 256 bits, but the actual port connection bit width is 12. Adjust either the definition or the instantiation of this port.
@W: CG505 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":646:28:646:33|Ignoring system task $error. Supported only within an assertion
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":724:3:724:8|Pruning unused register xact_aw_len[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":724:3:724:8|Pruning unused register xact_aw_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":612:3:612:8|Pruning unused register xact_write_valid_d. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":612:3:612:8|Pruning unused register aw_sequence_error. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":453:3:453:8|Pruning unused register xact_ar_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CS263 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/syn/speedster7t_user_macros_core.sv":2986:15:2986:17|Port-width mismatch for port din. The port definition is 256 bits, but the actual port connection bit width is 12. Adjust either the definition or the instantiation of this port.
@W: CG505 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":646:28:646:33|Ignoring system task $error. Supported only within an assertion
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":724:3:724:8|Pruning unused register xact_aw_len[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":724:3:724:8|Pruning unused register xact_aw_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":612:3:612:8|Pruning unused register xact_write_valid_d. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":612:3:612:8|Pruning unused register aw_sequence_error. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":453:3:453:8|Pruning unused register xact_ar_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CS263 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/syn/speedster7t_user_macros_core.sv":2986:15:2986:17|Port-width mismatch for port din. The port definition is 256 bits, but the actual port connection bit width is 12. Adjust either the definition or the instantiation of this port.
@W: CG505 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":603:28:603:33|Ignoring system task $error. Supported only within an assertion
